uid	tcga_g5_6641_01a_11r_a32z_07_bed	tcga_ag_3605_01a_01r_0826_07_bed	tcga_ag_a025_01a_01r_a00a_07_bed	tcga_ei_6883_01a_31r_1928_07_bed	tcga_af_3400_11a_01r_a32z_07_bed	tcga_ei_6512_01a_11r_1736_07_bed	tcga_dc_5869_01a_01r_1660_07_bed	tcga_af_a56k_01a_32r_a39d_07_bed	tcga_af_2691_01a_01r_0821_07_bed	tcga_ag_3882_01a_01r_0905_07_bed	tcga_ah_6549_01a_11r_1830_07_bed	tcga_ei_6509_01a_11r_1736_07_bed	tcga_dc_6155_01a_11r_1660_07_bed	tcga_ag_a01j_01a_01r_a00a_07_bed	tcga_ag_3902_01a_01r_a32z_07_bed	tcga_f5_6464_01a_11r_1736_07_bed	tcga_ag_3901_01a_01r_1119_07_bed	tcga_af_6136_01a_11r_1830_07_bed	tcga_ei_6508_01a_11r_1736_07_bed	tcga_ag_3742_11a_01r_1660_07_bed	tcga_dc_6158_01a_11r_1660_07_bed	tcga_af_a56n_01a_12r_a39d_07_bed	tcga_f5_6702_01a_11r_1830_07_bed	tcga_dy_a1dg_01a_11r_a32y_07_bed	tcga_af_2693_01a_02r_1736_07_bed	tcga_f5_6863_01a_11r_1928_07_bed	tcga_af_5654_01a_01r_1660_07_bed	tcga_dc_6681_01a_11r_a32z_07_bed	tcga_ag_a01n_01a_01r_a00a_07_bed	tcga_dc_4749_01a_01r_1736_07_bed	tcga_bm_6198_01a_11r_1736_07_bed	tcga_ei_6506_01a_11r_1736_07_bed	tcga_ag_3742_01a_11r_1660_07_bed	tcga_ag_3728_01a_01r_0905_07_bed	tcga_ag_3609_01a_02r_0826_07_bed	tcga_ci_6623_01b_11r_1830_07_bed	tcga_ag_a011_01a_01r_a002_07_bed	tcga_dc_6156_01a_11r_1660_07_bed	tcga_ag_4005_01a_01r_1119_07_bed	tcga_ah_6544_01a_11r_1830_07_bed	tcga_af_3400_01a_01r_0821_07_bed	tcga_af_6655_01a_11r_1830_07_bed	tcga_ag_a00y_01a_02r_a002_07_bed	tcga_ag_3725_01a_11r_1736_07_bed	tcga_ag_3727_01a_01r_0905_07_bed	tcga_ag_3731_11a_01r_1736_07_bed	tcga_ag_a00c_01a_01r_a002_07_bed	tcga_ag_3731_01a_11r_1736_07_bed	tcga_ag_3578_01a_01r_0821_07_bed	tcga_ef_5831_01a_01r_1660_07_bed	tcga_ag_a032_01a_01r_a00a_07_bed	tcga_ci_6624_01c_11r_1830_07_bed	tcga_ci_6620_01a_11r_1830_07_bed	tcga_af_2689_11a_01r_a32z_07_bed	tcga_dy_a1de_01a_11r_a155_07_bed	tcga_ag_3890_01a_01r_1119_07_bed	tcga_ag_3601_01a_01r_0826_07_bed	tcga_af_2692_11a_01r_a32z_07_bed	tcga_ag_a01y_01a_41r_a083_07_bed	tcga_f5_6861_01a_11r_1928_07_bed	tcga_af_2692_01a_01r_0821_07_bed	tcga_af_2687_01a_02r_1736_07_bed	tcga_ag_a02n_01a_11r_a083_07_bed	tcga_ag_4008_01a_01r_1119_07_bed	tcga_dc_6157_01a_11r_1660_07_bed	tcga_ah_6547_01a_11r_1830_07_bed	tcga_ag_3591_01a_01r_1736_07_bed	tcga_ag_3575_01a_01r_0821_07_bed	tcga_ei_6514_01a_11r_1736_07_bed	tcga_ag_a01w_01a_21r_a083_07_bed	tcga_dc_5337_01a_01r_1660_07_bed	tcga_ag_3587_01a_01r_0821_07_bed	tcga_ag_3592_01a_02r_1736_07_bed	tcga_f5_6465_01a_11r_1736_07_bed	tcga_ag_3883_01a_02r_0905_07_bed	tcga_ei_6885_01a_11r_1928_07_bed	tcga_ag_3893_01a_01r_1119_07_bed	tcga_ag_3600_01a_01r_0826_07_bed	tcga_ah_6903_01a_11r_1928_07_bed	tcga_ag_3584_01a_01r_0821_07_bed	tcga_ag_3894_01a_01r_1119_07_bed	tcga_ei_6882_01a_11r_1928_07_bed	tcga_ag_3892_01a_01r_1119_07_bed	tcga_ag_3726_01a_02r_0905_07_bed	tcga_ag_3999_01a_01r_1119_07_bed	tcga_ag_3885_01a_01r_0905_07_bed	tcga_cl_4957_01a_01r_1736_07_bed	tcga_ag_3599_01a_02r_0826_07_bed	tcga_af_3913_01a_02r_1119_07_bed	tcga_ag_3581_01a_01r_0821_07_bed	tcga_f5_6571_01a_12r_1830_07_bed	tcga_f5_6810_01a_11r_1830_07_bed	tcga_ef_5830_01a_01r_1660_07_bed	tcga_af_a56l_01a_31r_a39d_07_bed	tcga_ag_3583_01a_01r_0821_07_bed	tcga_ag_3580_01a_01r_0821_07_bed	tcga_ag_a002_01a_01r_a002_07_bed	tcga_ag_3881_01a_01r_0905_07_bed	tcga_dy_a1df_01a_11r_a155_07_bed	tcga_ag_3594_01a_02r_0821_07_bed	tcga_ah_6643_01a_11r_1830_07_bed	tcga_ei_6510_01a_11r_1736_07_bed	tcga_af_6672_01a_11r_1830_07_bed	tcga_ag_a014_01a_02r_a002_07_bed	tcga_af_2691_11a_01r_a32z_07_bed	tcga_ag_4007_01a_01r_1119_07_bed	tcga_ag_a023_01a_01r_a00a_07_bed	tcga_af_5654_11a_11r_1660_07_bed	tcga_ag_3593_01a_01r_0821_07_bed	tcga_ag_3887_01a_01r_1119_07_bed	tcga_ei_7002_01a_11r_1928_07_bed	tcga_ag_3732_11a_01r_1660_07_bed	tcga_ag_3725_11a_01r_1736_07_bed	tcga_g5_6235_01a_11r_1736_07_bed	tcga_ag_3611_01a_01r_0826_07_bed	tcga_dc_6154_01a_31r_1928_07_bed	tcga_ag_a01l_01a_01r_a002_07_bed	tcga_ah_6643_11a_01r_1830_07_bed	tcga_af_3911_01a_01r_1736_07_bed	tcga_ag_4001_01a_02r_1119_07_bed	tcga_ag_a016_01a_01r_a002_07_bed	tcga_dy_a1dd_01a_21r_a155_07_bed	tcga_ag_a02g_01a_01r_a00a_07_bed	tcga_ag_3898_01a_01r_1119_07_bed	tcga_ag_a036_01a_12r_a083_07_bed	tcga_f5_6812_01a_11r_1830_07_bed	tcga_ei_6513_01a_21r_1736_07_bed	tcga_ag_a020_01a_21r_a083_07_bed	tcga_af_2690_01a_02r_1736_07_bed	tcga_ag_3909_01a_01r_1119_07_bed	tcga_dt_5265_01a_21r_1830_07_bed	tcga_ag_3732_01a_11r_1660_07_bed	tcga_ag_a015_01a_01r_a002_07_bed	tcga_ci_6622_01a_11r_1830_07_bed	tcga_ei_6881_01a_11r_a32z_07_bed	tcga_ei_6884_01a_11r_1928_07_bed	tcga_ag_a008_01a_01r_a002_07_bed	tcga_ah_6897_01a_11r_1928_07_bed	tcga_ag_4015_01a_01r_1119_07_bed	tcga_cl_5917_01a_11r_1660_07_bed	tcga_ag_a026_01a_01r_a00a_07_bed	tcga_f5_6814_01a_31r_1928_07_bed	tcga_dy_a1dc_01a_31r_a155_07_bed	tcga_ci_6619_01b_11r_1830_07_bed	tcga_dy_a0xa_01a_11r_a155_07_bed	tcga_af_4110_01a_02r_1736_07_bed	tcga_dc_6682_01a_11r_1830_07_bed	tcga_ag_3598_01a_01r_0826_07_bed	tcga_ag_3582_01a_01r_0821_07_bed	tcga_ag_3878_01a_02r_0905_07_bed	tcga_f5_6811_01a_11r_1830_07_bed	tcga_ag_4021_01a_01r_1736_07_bed	tcga_ag_3602_01a_02r_0826_07_bed	tcga_ag_3586_01a_02r_0821_07_bed	tcga_cl_5918_01a_11r_1660_07_bed	tcga_dy_a1h8_01a_21r_a155_07_bed	tcga_f5_6813_01a_11r_1830_07_bed	tcga_ag_3612_01a_01r_0826_07_bed	tcga_dc_6683_01a_11r_1830_07_bed	tcga_ag_3574_01a_01r_0821_07_bed	tcga_ag_a02x_01a_01r_a00a_07_bed	tcga_g5_6572_02a_12r_1830_07_bed	tcga_g5_6572_01a_11r_1830_07_bed	tcga_ag_a00h_01a_01r_a00a_07_bed	tcga_dc_6160_01a_11r_1660_07_bed	tcga_g5_6233_01a_11r_1736_07_bed	tcga_f5_6864_01a_11r_1928_07_bed	tcga_ag_4022_01a_01r_1736_07_bed	tcga_ag_3608_01a_01r_0826_07_bed	tcga_ah_6644_01a_21r_1830_07_bed	tcga_dc_4745_01a_01r_a32z_07_bed	tcga_ei_6917_01a_11r_1928_07_bed	tcga_ei_7004_01a_11r_1928_07_bed	tcga_ci_6621_01a_11r_1830_07_bed	tcga_ag_3896_01a_01r_1119_07_bed	tcga_ei_6507_01a_11r_1736_07_bed	tcga_ei_6511_01a_11r_1736_07_bed
TRMT11:ENSG00000066651:E8.2-E10.1|ENSG00000066651:E9.1-E10.1	0.85	1.0	0.8	0.88	0.89	0.82	0.74	0.77	1.0	0	0.86	0.6	0	0	0.85	0.81	1.0	0.77	0.91	0.96	0.92	0.82	0.85	0.78	0.95	0.88	0.88	0.89	0.86	0.83	0.82	0.96	0.97	0	0.67	0.9	0	0.69	0.83	0.95	0	0.88	0.69	0.92	0.9	0.84	0.83	0.82	0	0.93	0	0.8	0.87	0.9	0.81	0.79	0.94	0.94	0.9	0.84	0.7	0.7	0	0.79	0.94	0.73	0.86	0.93	0.81	0.96	0.86	0.92	0.93	0.73	0	0.87	1.0	1.0	0.84	0	0.78	0.68	0	0	0.94	0	0.93	1.0	0.96	0.95	0.91	0.89	0.92	0.78	0.92	0.7	0.67	0	0.79	0	0.86	0.89	0.84	1.0	0.81	0.88	0.77	0.86	0.75	0.88	0.78	0.86	0.61	0.91	0	0.81	0.87	0.76	0.88	0	1.0	0.75	0.93	0.92	0.98	0.84	0.87	0.96	0.87	1.0	0.72	0.84	0.89	0.84	0.87	0.82	0	0.95	0.94	0.86	0.92	0.75	0.91	0.85	0.82	0.87	0.86	0	1.0	0.93	0.9	0.84	0	1.0	0.95	0.62	0.86	0.96	0.95	0.95	0	0.87	0.87	0.79	0.9	0.9	0.84	0.82	0.83	0.89	0.86	0.89	0.9	0.9	0.83	0.64	0.73
METTL22:ENSG00000067365:E4.5-E6.1|ENSG00000067365:E4.5-E7.1	0.4	0.9	0.82	0.29	0.48	0.5	0.47	0.24	0.73	0.82	0.42	0.5	0	0	0.34	0.57	0	0.33	0.23	0.71	0.58	0.41	0.67	0.55	0.6	0.48	0.57	0.61	0.67	0.34	0.42	0.48	0.53	0.64	0.67	0.75	0	0.58	0.86	0.44	0.93	0.55	0.44	0.55	0.47	0.69	0.6	0.64	0.43	0.73	0.62	0.9	0.33	0.9	0.56	0.5	0.61	0.76	0.69	0.32	0.5	0.54	0	0.8	0.6	0.6	0.46	0.55	0.48	0	0.67	0.42	0.65	0.51	0.67	0.58	0.69	0	0.4	0.79	0	0	0.67	0	0.8	0.67	0.71	0	0.8	0	0.38	0.71	0.61	0.26	0.59	0.8	0.91	0.4	0.54	0.29	0.57	0.39	0	0.5	0.83	0.78	0.82	0.3	0.64	1.0	0.5	0.85	0.88	0.5	0.45	0.45	0.67	0.82	0.71	0	0.57	0.58	0	0.31	0	0.77	0.41	0.75	0.76	0.73	0.58	0.57	0	0.64	0.62	0.38	0	0.55	0.75	0.68	0	0.6	0.71	0.36	0.4	0.5	0	0	0.78	0.6	0.8	0.75	0.89	0.58	0.4	0.55	0.68	0.58	0.5	0.73	0	0.55	0	0.73	0.93	0.53	0.38	0.65	0	0.39	0.42	0.56	0.61	0.52	0.65	0.25	0.72
TCOF1:ENSG00000070814:E9.4-E9.6|ENSG00000070814:E4.1-E23.2	0.69	0.56	0.87	0.64	0.78	0.75	0.78	0.88	0	0.56	0.76	0.76	0.06	0	0.72	0.77	0.89	0.94	0.6	0.21	0.9	0.69	0.72	0.76	0.85	0.74	0.72	0.86	0.56	0.82	0.73	0.95	0.84	0.6	0.95	0.58	0.75	0.93	0.89	0.69	0.58	0.87	0.88	0.95	0.58	0.84	0.59	0.66	0	0.79	0.5	0.92	0.85	0.64	0.59	0.88	0.46	0.94	0.64	0.76	0.94	0.86	0.82	0.62	0.86	0.58	0.88	0	0.84	0.5	0.78	0.41	0.88	0.91	0	0.72	0.9	0.96	0.91	0.83	1.0	0.94	0.78	1.0	0.95	1.0	0.81	0.77	0.84	0	0.71	0.59	0.78	0.95	0.67	0.84	0.51	0.89	0.43	0	0.53	0.89	0.83	0.71	0.93	0	0.94	0.75	0.85	0.69	0.81	0.85	0	0.64	0	0.87	0.9	0.76	0.88	0.79	0.69	0.34	0.89	0.89	0.69	0.55	0.79	0.71	0.74	0.96	0.39	0.74	0.86	0.75	0.67	0.87	0.79	0.76	0.64	0.73	0.8	0.7	0.88	0.86	0.62	0.78	0.43	0.39	0.65	0.91	0.7	0.71	0	1.0	0.72	0.12	0.57	0	0.53	0.85	0.9	0.63	0.85	0.9	0.77	0.48	0.7	0.88	1.0	0.68	0.92	0.8	0.96	0.58	0.65	0.92	0.85
TCOF1:ENSG00000070814:E9.6-E10.1|ENSG00000070814:E4.1-E23.2	0.85	0.83	0.94	0.79	0.82	0.82	0.82	0.92	0.92	0.24	0.85	0.8	0.03	1.0	0.84	0.86	0.96	0.97	0.69	0.25	0.96	0.8	0.81	0.74	0.85	0.78	0.82	0.9	0.61	0.88	0.73	0.96	0.89	0.71	0.93	0.65	0.88	0.96	0.93	0.8	0.78	0.89	0.91	0.97	0.73	0.9	0.71	0.75	1.0	0.9	0.74	0.93	0.89	0.79	0.65	0.87	0.68	0.97	0.74	0.81	0.97	0.88	0.87	0.81	0.9	0.68	0.91	0	0.89	0.77	0.85	0.66	0.93	0.94	1.0	0.78	0.93	0.97	0.95	0.81	1.0	0.96	0.8	1.0	0.93	1.0	0.87	0.86	0.92	0.89	0.82	0.66	0.88	0.96	0.8	0.89	0.54	0.91	0.53	1.0	0.64	0.92	0.86	0.76	0.95	0.93	0.97	0.78	0.89	0.78	0.86	0.94	0.94	0.71	0	0.91	0.96	0.84	0.92	0.81	0.77	0.59	0.94	0.94	0.8	0.7	0.85	0.81	0.86	0.95	0.46	0.88	0.9	0.84	0.81	0.88	0.85	0.86	0.65	0.8	0.92	0.79	0.91	0.91	0.71	0.92	0.58	0.74	0.71	0.95	0.73	0.69	0	1.0	0.78	0.12	0.66	0.93	0.7	0.9	0.83	0.61	0.91	0.92	0.83	0.66	0.8	0.9	1.0	0.8	0.95	0.76	0.97	0.71	0.76	0.95	0.93
PRKACA:ENSG00000072062:E6.2-E7.1|ENSG00000072062:E6.2-E12.4	0.87	0.94	1.0	0.88	0.83	0.96	0.96	0.83	1.0	0	0.89	0.93	0	1.0	0.93	0.9	0.92	0.79	0.9	0.94	0.9	0.89	0.82	0.76	0.89	0.87	0.88	0.95	0.95	0.89	0.71	0.88	0.88	0.67	1.0	0.85	1.0	0.95	0.92	0.82	1.0	0.86	1.0	0.88	0	0.88	0.96	0.88	1.0	0.9	1.0	0.92	0.94	0.9	0.85	0.95	1.0	0.94	0.9	0.88	0.94	0.89	0.91	0.96	0.89	0.86	0.88	1.0	0.88	0.9	0.84	1.0	0.82	0.85	0	0.91	1.0	1.0	0.96	0.97	1.0	1.0	1.0	0	0.94	0.85	0.86	0.96	0.97	1.0	0.88	0.88	0.87	0.87	1.0	0.93	0.94	0	0.52	0.82	0.88	0.8	0.93	1.0	0.92	1.0	0.95	0.92	0.94	0.86	0.94	0.91	0.9	0.94	1.0	0.92	1.0	0.93	0.93	1.0	1.0	0.86	1.0	0.95	1.0	0.83	0.87	0.9	0.83	1.0	0.74	0.85	1.0	0.87	0.93	0.92	1.0	0.9	0.92	0.83	1.0	0.89	0.72	0.78	0.91	0.86	0.88	1.0	1.0	0.62	0.86	0.95	1.0	1.0	0.85	0.77	0.84	0.91	0.84	1.0	0.92	0.81	0.87	0.89	0.83	0.89	0.85	0.87	1.0	0.83	0.87	0.93	0.93	0.8	0.96	0.9	0.8
EIF4G3:ENSG00000075151:E55.1-E58.1|ENSG00000075151:E56.3-E58.1	0.86	0	0.79	0.91	0.89	0.96	0.78	0.88	0	0	0.93	0.86	0	0.78	0.92	0.86	0	0.71	0.93	0.85	0.9	0.85	0.79	0.77	0.89	0.91	0.85	0.82	0	0.92	0.83	0.95	0.95	0	0	0.97	0.78	0.87	0.5	1.0	0	0.75	1.0	0.93	0	0.91	0.5	0.9	1.0	0.88	0	0.96	0.91	0.91	0.78	0	0.9	0.88	0	0.92	1.0	0.85	0	0.93	0.91	0.89	0.86	1.0	0.98	0.69	1.0	0	0.88	0.87	0	0.95	0	0	0.87	0.85	0.78	0.93	0	0	0	0	0.78	0.8	0.78	0.92	0.92	0.91	0.86	0.75	0	0.85	0.82	0	0.74	0.82	0.92	0.82	0.93	0	0.84	0	0.09	0.96	0.77	0	0.95	0.92	0.9	0.91	1.0	0.81	0.79	0.9	0.89	0	1.0	0.67	0	0.75	0.67	0.89	0.86	0.76	0.93	0	1.0	0.78	0.83	0.85	0.88	0.95	1.0	0.94	0	0.94	0.89	0.84	0.86	0.96	0.88	0.9	0.97	0	0	0	0.92	0.91	0	0	0.79	0	1.0	0.62	0.82	0.62	0.77	1.0	0.88	1.0	0.88	0.86	0.81	0.86	0	0.92	0.94	0.88	0.96	0.88	0.9	0.94	0.93
TTC38:ENSG00000075234:E17.1-E18.1|ENSG00000075234:E16.1-E18.1	0.13	0.16	0.14	0.21	0.1	0.22	0.17	0.16	0.09	0.2	0.2	0.15	0	0.2	0.2	0.16	0.02	0.27	0.14	0.1	0.21	0.2	0.12	0.15	0.12	0.18	0.22	0.05	0.19	0.13	0.14	0.08	0.21	0.16	0.12	0.17	0.28	0.3	0.21	0.07	0.23	0.16	0.23	0.25	0.2	0.12	0.17	0.25	0.41	0.11	0.14	0.11	0.2	0.08	0.3	0.2	0.19	0.08	0.24	0.2	0.19	0.49	0.22	0.17	0.03	0.11	0.16	0	0.06	0.17	0.16	0.33	0.15	0.13	0.14	0.28	0.26	0.14	0.14	0.2	0.13	0.23	0.22	0.14	0.2	0.29	0.13	0.05	0.16	0.11	0.23	0.25	0.15	0.17	0.19	0.2	0.18	0.24	0.39	0.04	0.22	0.2	0.4	0.16	0.08	0.19	0.23	0.1	0.19	0.11	0.23	0.16	0.11	0.08	0.24	0.15	0.02	0.11	0.18	0.3	0.21	0.31	0.22	0.13	0.11	0.23	0.27	0.03	0.22	0.11	0.27	0.3	0.07	0.09	0.09	0.24	0.16	0.18	0.14	0.14	0.15	0.11	0.14	0.2	0.26	0.16	0.32	0.11	0.17	0.14	0.25	0.18	0.13	0.16	0.15	0.57	0.16	0.24	0.24	0.17	0.11	0.13	0.1	0.17	0.18	0.31	0.24	0.16	0.2	0.41	0.27	0.13	0.12	0.17	0.05	0.32	0.11
SMARCA2:ENSG00000080503:E49.1-E57.1|ENSG00000080503:E52.12-E57.1	0.85	1.0	0.66	0.83	0.81	0.85	0.7	0.86	0.94	0	0.67	0.87	0	0.69	0.67	0.8	0.79	0.53	0.92	0.68	0.77	0.87	0.77	0.86	0.7	0.76	0.6	0.66	0.96	0.66	0.79	0.7	0.83	0.66	0.69	0.8	0.94	0.79	0.97	0.81	0.69	0.89	0.84	0.83	1.0	0.79	0.94	0.57	0.93	0.74	0.95	0.87	0.69	0.71	0.9	0.92	0.96	0.73	0.89	0.86	0.97	0.66	0.21	0.84	0.86	0.74	0.76	0.22	0.68	0.76	0.69	0.69	0.78	0.73	0	0.85	1.0	0.89	0.64	0.95	0.85	0.53	0.92	0.81	0.88	0.94	0.77	0.96	0.89	0.97	0.66	0.61	0.71	0.81	0.78	0	0.78	0.81	0.74	0.64	0.75	0.69	0.83	0.79	0.78	0.9	0.96	0.91	0.53	0.52	0.71	0.76	0.75	0.67	0.9	0.84	0.93	0.84	0.77	0.77	0.65	0.88	0.97	0.95	0.95	0.82	0.87	0.98	0.54	0.97	0.69	0.71	0.9	0.69	0.85	0.77	0.87	0.93	0.96	0.67	0.96	0.74	0.9	0.74	0.67	0.7	0.64	0.88	0.97	0.59	0.79	0.7	1.0	0.61	0.74	1.0	0.85	0.92	0.73	0.97	0.79	0.8	0.55	1.0	0.84	0.88	0.74	0.68	0.96	0.74	0.7	0.8	0.68	0.7	0.71	0.71	0.81
CLDND1:ENSG00000080822:E5.8-I5.4|ENSG00000080822:E5.8-I6.1_98506747	0.9	0.88	0.92	0.9	0.8	0.87	0.89	0.8	0.68	0.91	0.93	0.79	0.78	0.8	0.73	0.91	0.83	0.91	0.85	0.71	0.88	0.91	0.9	0.91	0.94	0.83	0.79	0.89	0.87	0.87	0.65	0.88	0.9	0.83	0.86	0.93	0.67	0.88	0.94	0.96	0.85	0.93	0.9	0.91	1.0	0.77	0.71	0.88	0.76	0.88	0.73	0.86	0.89	0.77	0.83	0.79	0.66	0.73	0.97	0.96	0.68	0.81	0.76	0.84	0.88	0.8	0.86	0.87	0.88	0.63	0.95	0.92	0.84	0.8	0.98	0.95	0.87	0.68	0.76	0.81	0.92	0.76	0.8	0.89	0.81	0.88	0.85	0.94	0.85	0.91	0.83	0.84	0.88	0.76	0.83	0.93	0.77	0.78	0.68	0.82	0.77	0.86	0.79	0.88	0.69	0.84	0.79	0.8	0.75	0.89	0.94	0.74	0.74	0.89	0.82	0.89	0.87	0.7	0.85	0.88	0.83	0.67	0.81	0.89	0.98	0.76	0.93	0.81	0.8	0.88	0.77	0.75	0.73	0.94	0.85	0.9	0.85	0.97	0.9	0.86	0.73	0.92	0.86	0.79	0.82	0.9	0.88	0.72	0.89	0.84	0.82	0.88	0.6	0.93	0.72	0.74	0.79	0.91	0.92	0.92	0.89	0.83	0.77	0.78	0.9	0.89	0.95	0.84	0.92	0.84	0.82	0.83	0.92	0.83	0.88	0.83	0.93
RAB11FIP3:ENSG00000090565:E15.1-E16.1|ENSG00000090565:E15.1-E17.2	0.0	0.15	0.12	0.06	0.03	0.11	0.28	0.08	0.0	0.59	0.07	0.1	1.0	0.18	0.03	0.0	0.09	0.1	0.03	0.02	0.0	0.14	0.06	0.33	0.11	0.09	0.09	0.04	0.11	0.18	0.08	0.08	0.04	0.08	0.19	0.25	0.18	0.06	0.0	0.17	0.06	0.09	0	0.2	0.11	0.04	0.36	0.05	0	0.06	0.26	0.19	0.13	0.07	0.11	0.08	0.31	0.03	0.0	0.09	0	0.02	0	0	0.02	0.07	0.08	0	0.07	0.13	0.34	0.15	0.06	0.03	0.71	0.05	0.32	0.33	0.15	0.06	0.0	0.05	0	0.14	0.14	0.21	0.14	0.18	0	0.07	0.1	0.13	0.09	0.05	0	0.17	0.08	0.06	0.44	0	0.03	0.1	0.07	0.17	0.0	0.0	0.15	0.14	0.08	0.0	0.08	0.03	0.0	0.15	0.3	0.11	0.09	0.1	0.15	0.1	0.06	0.3	0	0.22	0.15	0.12	0.21	0.05	0.07	0.12	0.42	0.03	0.47	0.13	0.09	0.08	0	0.24	0.29	0.1	0.08	0.09	0.11	0.08	0.06	0.11	0.0	0.3	0.13	0.06	0.03	0.06	0	0	0.09	0.81	0.31	0.29	0.1	0.14	0.0	0.05	0.09	0.15	0.13	0.32	0.04	0.15	0.38	0.03	0.03	0.04	0.02	0.04	0	0.08	0.07
RAB11FIP3:ENSG00000090565:E9.1-E12.1|ENSG00000090565:E10.3-E12.1	0.78	0.84	1.0	0.97	0.77	0.61	0.83	0.82	0	0.92	0.97	0.51	0.09	0.95	0.87	0.72	0.88	0.83	1.0	0.95	0.89	0.81	0.89	0.86	0.68	0.99	0.72	0.93	0.84	0.64	0.7	0.81	0.89	0.89	0.63	1.0	1.0	0.95	0.79	0.84	1.0	0.91	0.67	0.81	0.46	0.93	0.41	0.91	0.8	0.64	0.88	0.75	0.71	0.82	0.61	0.89	1.0	0.87	0.89	0.82	0.91	0.85	0	0.84	0.86	0.78	0.95	0	0.9	0.67	0.67	0.71	0.93	0.95	0.61	0.97	0.52	0.88	0.91	0.77	0.88	1.0	0.69	0.75	0.92	0.46	0.88	0.72	0.77	0.92	0.8	0.89	0.84	0.95	0.77	0.76	1.0	0.76	0.58	0.78	0.81	0.76	0.88	0.88	0.86	1.0	0.96	0.83	0.78	0.6	0.9	0.98	0.74	0.78	0	0.88	0.91	0.94	0.66	0.68	0.9	1.0	0.54	0.87	0.75	0.88	0.72	0.8	1.0	0.89	0.69	0.79	0.52	0.66	0.87	0.91	0.89	0.93	1.0	0.76	0.75	0.87	0.82	0.87	0.92	0.89	0.92	0.83	0.87	0.94	0.93	0.98	0	1.0	0.91	0.57	0.62	1.0	0.72	0.86	0.8	0.91	0.91	0.93	0.91	0.54	0.96	0.92	0.88	0.93	0.92	0.69	0.94	0.85	0	0.93	0.9
PABPC4:ENSG00000090621:E4.1-E5.1|ENSG00000090621:E4.4-E5.1	0.81	0.93	0.8	0.84	0.89	0.85	0.9	0.77	0.89	0.62	0.88	0.83	1.0	0.9	0.86	0.89	0.93	0.88	0.85	0.9	0.86	0.84	0.88	0.84	0.86	0.89	0.85	0.92	0.8	0.77	0.9	0.84	0.82	0.89	0.89	0.93	0.64	0.89	0.85	0.86	0.89	0.79	0.94	0.81	0.52	0.92	0.87	0.79	0.89	0.9	0.83	0.89	0.88	0.91	0.79	0.86	0.87	0.89	0.93	0.91	0.87	0.87	0.87	0.84	0.88	0.9	0.87	0.91	0.9	0.9	0.89	0.78	0.84	0.9	0.58	0.91	0.76	0.89	0.9	0.54	0.92	0.81	0.91	0.76	0.84	0.74	0.91	0.9	0.93	0.86	0.84	0.87	0.87	0.83	0.89	0.9	0.93	0.56	0.86	0.82	0.94	0.87	0.86	0.92	0.92	0.9	0.88	0.78	0.88	0.89	0.81	0.95	0.88	0.81	0.92	0.9	0.9	0.82	0.77	0.79	0.78	0.79	0.9	0.83	0.93	0.9	0.85	0.78	0.88	0.88	0.82	0.87	0.82	0.91	0.89	0.84	0.86	0.9	0.78	0.89	0.87	0.81	0.88	0.83	0.8	0.84	0.89	0.86	0.93	0.82	0.92	0.89	1.0	0.82	0.9	0.58	0.89	0.9	0.89	0.82	0.87	0.96	0.91	0.78	0.92	0.77	0.8	0.9	0.91	0.93	0.93	0.81	0.9	0.89	0.94	0.81	0.91
PABPC4:ENSG00000090621:E4.4-E5.1|ENSG00000090621:E4.1-E5.1	0.19	0.07	0.2	0.16	0.11	0.15	0.1	0.23	0.11	0.38	0.12	0.17	0.0	0.1	0.14	0.11	0.07	0.12	0.15	0.1	0.14	0.16	0.12	0.16	0.14	0.11	0.15	0.08	0.2	0.23	0.1	0.16	0.18	0.11	0.11	0.07	0.36	0.11	0.15	0.14	0.11	0.21	0.06	0.19	0.48	0.08	0.13	0.21	0.11	0.1	0.17	0.11	0.12	0.09	0.21	0.14	0.13	0.11	0.07	0.09	0.13	0.13	0.13	0.16	0.12	0.1	0.13	0.09	0.1	0.1	0.11	0.22	0.16	0.1	0.42	0.09	0.24	0.11	0.1	0.46	0.08	0.19	0.09	0.24	0.16	0.26	0.09	0.1	0.07	0.14	0.16	0.13	0.13	0.17	0.11	0.1	0.07	0.44	0.14	0.18	0.06	0.13	0.14	0.08	0.08	0.1	0.12	0.22	0.12	0.11	0.19	0.05	0.12	0.19	0.08	0.1	0.1	0.18	0.23	0.21	0.22	0.21	0.1	0.17	0.07	0.1	0.15	0.22	0.12	0.12	0.18	0.13	0.18	0.09	0.11	0.16	0.14	0.1	0.22	0.11	0.13	0.19	0.12	0.1	0.2	0.16	0.11	0.14	0.07	0.18	0.08	0.11	0.0	0.18	0.1	0.42	0.11	0.1	0.11	0.18	0.13	0.04	0.09	0.22	0.08	0.23	0.2	0.1	0.09	0.07	0.07	0.19	0.1	0.11	0.06	0.19	0.09
